CommentId,WorkOrderId,ActivityId,ActivitySid,ActivityType,AuthorName,AuthorSid,Category,Comments,DateCreated,IsPublic,LastModified,LastModifiedByName,LastModifiedBySid
38520,87970,87970,122,2,,-1,,"From: Request ID: , 01/02/2008 2:37:37 PM


Problem Details: 
Problem Comments: 
By JACKSON, JACKIE: 01/02/2008 2:39:25 PM
changeout cores to new lock sets being installed 
dispatched to Mike Neal

By ISBELL, BRENDA: 01/07/2008 10:53:45 AM
1/2/08 Gary completed.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38521,87971,87971,124,2,,-1,,"Parent Workorder: 85911
By HUTTON, JENNIFER: 01/02/2008 2:44:11 PM
12/7 Bud and Gus did work on hydrant, raised hydrant and backfilled.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38522,87972,87972,126,2,,-1,,"Parent Workorder: 81627
By ISBELL, BRENDA: 03/10/2008 11:31:16 AM
3/7/08 David, PM sump pump.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38523,87973,87973,125,2,,-1,,"By MOORE, CYNTHIA: 01/02/2008 2:49:17 PM
12/127/07 - Jet sewer line south 412' - McFadden, Rick, FD",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38524,87974,87974,127,2,,-1,,"By MOORE, JESSICA: 1/2/2008 2:56:34 PM
callout to place barricades on storm drain;COMPLETE",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38525,87975,87975,128,2,,-1,,"By WALDROP, VICKI: 01/03/2008 8:43:27 AM
Hauling limbs cut by Electric Dept. from back of property to curb.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38526,87976,87976,129,2,,-1,,"By MOORE, JESSICA: 1/2/2008 3:05:49 PM
call out to block off lanes for water dept. for water:COMPLETE

By MOORE, JESSICA: 1/2/2008 3:09:54 PM
waiting on trailer #",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38527,87977,87977,130,2,,-1,,"Parent Workorder: 87973
By MOORE, CYNTHIA: 01/02/2008 3:08:16 PM
Add time for 1617 Louis Scott St - dump vactor at WWTP  - McFadden,Rick& FD",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38528,87978,87978,131,2,,-1,,"Parent Workorder: 87711
By ISBELL, BRENDA: 01/02/2008 3:20:30 PM
12/28/07  Ken picked up toilet paper holder.  No one at station.  INCOMPLETE

By ISBELL, BRENDA: 01/04/2008 2:47:38 PM
1/2/08 Ken completed on w/o 87764.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38529,87979,87979,132,2,,-1,,"From: Request ID: 94414, 01/02/2008 3:19:28 PMWater Meter Install Contractor Install Residential
Problem Details: B0700456  , RNEW    , 5/8 inch meter
Problem Comments: 1, 4, KINGSBURY RIDGE
By MOORE, CYNTHIA: 01/02/2008 3:18:51 PM
01/02/2008 - Called Theresa Graeber and ask her if they did this job with extra parts, she said yes - making a working order/cam",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38530,87980,87980,133,2,,-1,,"By MOORE, CYNTHIA: 01/02/2008 3:38:14 PM
12/27/07 - inpected 4 manholes for c-mom - Mathews, EP",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38531,87981,87981,134,2,,-1,,"From: Request ID: , 01/02/2008 3:41:29 PM


Problem Details: 
Problem Comments: 
By JACKSON, JACKIE: 01/02/2008 3:43:37 PM
FMTOWELSHOUSEHOLD - 20 cases
FMTOWELS8INROLL - 30 cases
dispatched to Mike Neal

By ISBELL, BRENDA: 01/09/2008 2:14:56 PM
No time, ordered per Mike Neal.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38532,87982,87982,136,2,,-1,,"By MOORE, CYNTHIA: 01/02/2008 3:44:08 PM
12/27/07 - 27 manholes inspections for C-MOM - Mathews, EP

By MOORE, CYNTHIA: 01/02/2008 4:18:30 PM
One manhole at 1713 Dena Dr they did twice so 22 manholes/cam",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38533,87983,87983,135,2,,-1,,"By HUTTON, JENNIFER: 01/02/2008 3:44:52 PM
12/28 Bud and Vern took apart top of hydrant, retrieved new operation nut from yard, put back together.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38534,87984,87984,137,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 3:55:01 PM
12/21/07 JC, sb loops out.  Used personal vehicle.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38535,87985,87985,138,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 3:57:14 PM
12/23/07 JC, contractor changed sb work zone.

By ISBELL, BRENDA: 01/02/2008 3:58:02 PM
12/23/07 Personal vehicle used.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38536,87986,87986,139,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 4:00:30 PM
12/22/07 JC, not changing, no trouble found.  Used personal vehicle.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38537,87987,87987,140,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 4:03:16 PM
12/22/07 JC, EE removed AC power.  Personal vehicle used.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38538,87988,87988,142,2,,-1,,"From: Request ID: 102418, 01/02/2008 4:14:48 PM
WATER PROBLEM
Water main/line break/leak/pressure, meter problem
Problem Details: leaking meter
Problem Comments: 
By HUTTON, JENNIFER: 12/17/2007 3:59:24 PM
leaking meter

By HUTTON, JENNIFER: 12/17/2007 4:00:37 PM
12/16 Kristion found problem on resident's side, talked to resident, no follow up required.

By HUTTON, JENNIFER: 01/02/2008 4:16:10 PM
12/29 Dispatch called for meter leaking, found service line problem, talked to resident, pictures taken, request sr to street dept for concrete and sod.  Also notes resident's mailbox will need to be replaced.

By HUTTON, JENNIFER: 01/02/2008 4:16:21 PM
left temp mailbox

By HUTTON, JENNIFER: 01/02/2008 4:19:29 PM
Changed out meter.

By HUTTON, JENNIFER: 01/02/2008 4:20:18 PM
Returning to water to have additional materials added (1"" setter, 1"" splicer, 1"" ball valve, 1"" meter can)

By HUTTON, JENNIFER: 01/03/2008 9:36:25 AM
12/31 Kriston and Gene cleaned street.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38539,87989,87989,143,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 4:17:26 PM
12/22/07 JC reset conflict monitor.

By ISBELL, BRENDA: 01/02/2008 4:18:26 PM
12/22/07 Personal vehicle used.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38540,87990,87990,141,2,,-1,,"From: Request ID: , 01/02/2008 4:11:42 PM


Problem Details: 
Problem Comments: 
By JACKSON, JACKIE: 01/02/2008 4:17:44 PM
FMBLEACH - 1 case
FMBOWLBLOCKS - 3 cases
FMCANLINERS38X58 - 4 cases
FMDEODORIZERPACBRZ - 1 case
FMLEMONQUATCLNR - 1 case
FMMOPCOVER36IN - 2 cases
FMSOAPEXCELON - 2 cases
FMTOILETPAPRJRTJR - 2 cases
FMTOWELS8INROLL - 3 cases
FMTOWELSHOUSEHOLD - 1 case
dispatched to Mike Neal

By JACKSON, JACKIE: 01/02/2008 4:20:33 PM
FMCANLINERS24X24 24 X 24 Can Liners - 4 cases

By ISBELL, BRENDA: 01/04/2008 11:35:29 AM
1/2/08 & 1/3/08 Ken delivered supplies.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38541,87991,87991,145,2,,-1,,"By MOORE, CYNTHIA: 01/02/2008 4:20:47 PM
12/27/07 - repalced nozzle and holes protectors - McFadden,FD,Rick",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38542,87992,87992,144,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 4:20:55 PM
12/22/07 JC reset controller.  Personal vehicle used.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38543,87993,87993,146,2,,-1,,"By MOORE, CYNTHIA: 01/02/2008 4:24:19 PM
12/27/07 - Took Brian and Rick to Ocupational Health to get their shots - McFadden,Rick, FD,Brian",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38544,87994,87994,147,2,,-1,,"By MOORE, CYNTHIA: 01/02/2008 4:27:30 PM
12/27/07 - Harrassment Meeting - JH,KK,Brian, JS

By MOORE, CYNTHIA: 01/02/2008 4:30:17 PM
At the DCC building 28 E Main",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38545,87995,87995,148,2,,-1,,"By ISBELL, BRENDA: 01/02/2008 4:28:04 PM
12/22/07 Stop sign down WB.  JC put out roll out.

By ISBELL, BRENDA: 01/02/2008 4:30:02 PM
12/22/07 Personal vehicle used.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38546,87996,87996,149,2,,-1,,"From: Request ID: 99790, 01/02/2008 4:36:37 PM
STREET/SECURTY LIGHT
Install or Repair Street or Security Light
Problem Details: light out dispatched to Traffic
Problem Comments: 
By JACKSON, JACKIE: 10/11/2007 8:42:53 AM
light out dispatched to Traffic

By COFFMAN, JIM: 10/19/2007 11:09:35 PM
LIGHT IS FAULTED.

By MOORE, JESSICA: 12/3/2007 9:30:24 AM
12/3/07 caller called in again to get someone to look at the light. I looked up the information and called her back to let her know that the light is faulted but that it is on the list to be fixed.-Jessica

By ISBELL, BRENDA: 01/02/2008 4:36:19 PM
12/31/07 James & Cesar replaced 260 ft of 12/2W/GRD.  Tested light.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38547,87997,87997,150,2,,-1,,"From: Request ID: 102720, 01/02/2008 4:40:46 PM
STREET/SECURTY LIGHT
Install or Repair Street or Security Light
Problem Details: light out  dispatched to Traffic
Problem Comments: 
By JACKSON, JACKIE: 12/28/2007 11:22:24 AM
light out  dispatched to Traffic

By ISBELL, BRENDA: 01/02/2008 4:40:38 PM
12/31/07 James & Cesar, trouble shoot light.  No trouble found.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38548,87998,87998,151,2,,-1,,"Parent Workorder: 87796
By MOORE, CYNTHIA: 01/04/2008 4:38:31 PM
01/03/08 - QC for open service requests & workorders, workorker orders, service request and staff meeting.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38549,87999,87999,153,2,,-1,,"By HUTTON, JENNIFER: 01/02/2008 4:50:08 PM
12/31 Jimmy - shop/yard time
Mike P - vehicle/equip time",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38550,88000,88000,154,2,,-1,,"Parent Workorder: 87998
By MOORE, CYNTHIA: 01/04/2008 4:47:20 PM
01/04/08 - Payroll, water plants, lots of phone calls, dispatching, locates, bypass report and workorders.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38551,88001,88001,152,2,,-1,,"From: Request ID: , 01/02/2008 4:47:42 PM


Problem Details: 
Problem Comments: 
By JACKSON, JACKIE: 01/02/2008 4:49:51 PM
changeout door locks on surgery room
dispatched to Mike Neal

By ISBELL, BRENDA: 01/09/2008 11:01:34 AM
1/8/08 Sandra changed lock and installed PF-1 core.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38552,88002,88002,155,2,,-1,,"Parent Workorder: 87889
By ISBELL, BRENDA: 01/04/2008 10:41:51 AM
1/3/07 Meeting 1.25

By ISBELL, BRENDA: 01/04/2008 10:42:34 AM
1/3/08 Covered for Jackie 1 hr.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38553,88004,88004,156,2,,-1,,"By AUSTIN, ROBERT: 01/03/2008 7:29:45 AM
The address may change, but the plat name is Waterwood Plaza.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38554,88005,88005,158,2,,-1,,"By WALDROP, VICKI: 01/03/2008 8:18:00 AM
Dig in ground grid inside containment pit, install 750 MCm neu from transf to switchgear.

Armoring of ground grid (each individual structure at White & Hafer Subs",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38555,88006,88006,159,2,,-1,,"From: Request ID: 102808, 01/03/2008 8:16:47 AMWater Meter Install City Install Residential
Problem Details: B0700985  , RNEW    , 5/8 inch meter
Problem Comments: 1, 5, CARRIAGE PARK @ COFFEE CREEK
By MOORE, CYNTHIA: 01/03/2008 8:15:59 AM
48 hr locates

By HUTTON, JENNIFER: 01/15/2008 1:20:48 PM
1/8 meter installed.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38556,88007,88007,160,2,,-1,,"From: Request ID: 102810, 01/03/2008 8:18:53 AMWater Meter Install City Install Residential
Problem Details: B0700983  , RNEW    , 5/8 inch meter
Problem Comments: 11, 8, PEMBROKE AT COVELL VILLAGE
By HUTTON, JENNIFER: 01/15/2008 1:14:57 PM
1/8 meter installed",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
38557,88008,88008,161,2,,-1,,"From: Request ID: 102812, 01/03/2008 8:20:39 AMWater Meter Install City Install Residential
Problem Details: B0700988  , RNEW    , 5/8 inch meter
Problem Comments: 6, 11, PEMBROKE AT COVELL VILLAGE
By MOORE, CYNTHIA: 01/03/2008 8:20:15 AM
48 hr lcoates

By HUTTON, JENNIFER: 01/15/2008 1:09:59 PM
1/8 Jimmy assisted

By HUTTON, JENNIFER: 01/15/2008 1:18:10 PM
1/8 meter installed.",1970-01-01T07:00:00Z,False,1970-01-01T07:00:00Z,,0
